585	chr1	26735	28734
586	chr1	133124	135123
587	chr1	325790	327789
588	chr1	435151	437150
588	chr1	447273	449272
589	chr1	531219	533218
589	chr1	542738	544737
590	chr1	711984	713983
590	chr1	760416	762415
591	chr1	786863	788862
591	chr1	799975	801974
591	chr1	802339	805197
591	chr1	837694	839693
591	chr1	840620	844298
591	chr1	852765	854764
591	chr1	854974	858969
591	chr1	867332	869331
591	chr1	871873	875729
591	chr1	884356	886355
591	chr1	892313	894312
591	chr1	902655	906295
591	chr1	910869	912868
592	chr1	917726	919725
592	chr1	931387	933386
592	chr1	946670	948669
592	chr1	948895	949328
592	chr1	952768	954767
592	chr1	961795	963794
592	chr1	964508	967965
592	chr1	973496	975495
592	chr1	980306	981067
592	chr1	981401	982151
592	chr1	982512	983173
592	chr1	983613	984205
592	chr1	988274	990273
592	chr1	990695	994435
592	chr1	997678	999677
592	chr1	999912	1002662
592	chr1	1009509	1011508
592	chr1	1013403	1016862
592	chr1	1017440	1018098
592	chr1	1018391	1019817
592	chr1	1020027	1023142
592	chr1	1023348	1024074
592	chr1	1024615	1026376
592	chr1	1026626	1027508
592	chr1	1044044	1046043
593	chr1	1048515	1050514
593	chr1	1050831	1051177
593	chr1	1070369	1072368
593	chr1	1091211	1093210
593	chr1	1096043	1098042
593	chr1	1107314	1109313
593	chr1	1113574	1115573
593	chr1	1130827	1132826
593	chr1	1133219	1136359
593	chr1	1139670	1141669
593	chr1	1142151	1145567
593	chr1	1145879	1146707
593	chr1	1146915	1149054
593	chr1	1149525	1152521
593	chr1	1153135	1153783
593	chr1	1157168	1159167
593	chr1	1159529	1161958
593	chr1	1162282	1163501
593	chr1	1163896	1167000
593	chr1	1171915	1173914
593	chr1	1174264	1177884
594	chr1	1178208	1181755
594	chr1	1187396	1189395
594	chr1	1190246	1190521
594	chr1	1201166	1203165
594	chr1	1206515	1208514
594	chr1	1226780	1228779
594	chr1	1240400	1242399
594	chr1	1245186	1247917
594	chr1	1252322	1254321
594	chr1	1257643	1259642
594	chr1	1260636	1262664
594	chr1	1263421	1265205
594	chr1	1265430	1267084
594	chr1	1267287	1267434
594	chr1	1268987	1271424
594	chr1	1272075	1272376
594	chr1	1281933	1283932
594	chr1	1287707	1289706
74	chr1	1307140	1309139
595	chr1	1320644	1322643
595	chr1	1332071	1334070
595	chr1	1340004	1342003
595	chr1	1353159	1355158
595	chr1	1359560	1361559
595	chr1	1361788	1362953
595	chr1	1368767	1370766
595	chr1	1371450	1374460
595	chr1	1387555	1389554
595	chr1	1394085	1396084
595	chr1	1404844	1406843
595	chr1	1412034	1414033
